user_id,average_cosine_distance
000846d038cc6289acf99f0739820896,0.7549257
0041ec866777f12c384b64d8cd636277,0.76482755
0043b1daaa86074c18752eca2433c583,0.6851382
0057cffebc8f2391a9e26148ace0a5d5,0.65234244
0066d73e639db01860f18079de8ffada,0.72849387
009e5e75add820563b989a22db5bc7a9,0.7390138
00a73a10dccb84ea10503adc08faa775,0.72657573
00e0bae16432e820690a1df91b305485,0.78480816
00e4b5eaf6b11e5393f44544404ab5b5,0.76044476
0107e7f5e9606632a923d765cba08343,0.614344
011bb2d276b6844376e6bb513776aa7f,0.72928417
012570310145b92714c7287e877c5898,0.72505945
012d07cb8679a78263ef4856d2ccbbc9,0.7026299
015a20a1100f427addc170baf4a20606,0.728604
01605ca46174039b2b207aab7a572ae3,0.51969707
01711a3902f6dbd14f26aed1dbc94870,0.84732956
0195478b47e3c74313b5c2669d6d9259,0.6107999
01c4caa2eb82faf72d4e68fabf185a28,0.70692384
01c8ab54b31a8375b9ce1f68d8c3da63,0.7963034
01cd3e7c2fdbc783a04f09fe6e376438,0.6946579
01d53d3a96a3e6e7618231ee7a3b45a7,0.7558845
01f08fc23deb67c42c0b772a600a3d15,0.5549384
01ff6509c8f7f14554d583f80fd72320,0.81270766
0200a3089c114eb2dc9a8a64619deef1,0.85474604
021062f26cf1b05094305197be0b3e7e,0.74469554
022b61ebb0af2b475d380317b2953247,0.6733496
0251d497b2bfba5e0f73cbea89aac33e,0.85948455
027e3150caed54af95a017ecb2c170b5,0.63322127
0289787b90efcfdb4da13051f8b9cb4f,0.8185999
02b6799204beb5ca8527f1c6deedde09,0.7499772
02b9fbf31be3f4a1f6bd2dd143564828,0.87486625
02cb5afc8e9a757dce9e70b102302eb2,0.84948933
02d02967210da53cc903575cfdcfb0d8,0.754599
02f23a178fda4fbcf42f25d6dab093a5,0.7617643
030b2b6425c323e09e3abf1e0ede7126,0.8573841
03442ef063ec7ac9db49487e22dafd35,0.7400911
